FeedbackID,InterviewID,FeedbackText,SentimentScore
F3367,I2367,Average performance; showed potential with some gaps. Noted experience in Communication.,0.737
F3368,I2368,Communication was weak; needs improvement. Noted experience in HR Policies.,0.259
F3369,I2369,Average performance; showed potential with some gaps. Noted experience in HR Policies.,0.561
F3370,I2370,Strong analytical skills and clear communication. Noted experience in Numpy.,0.98
F3371,I2371,Mixed answers; structure could improve. Noted experience in Excel.,0.476
F3372,I2372,Not a strong fit for the role currently. Noted experience in Docker.,0.419
F3373,I2373,Average performance; showed potential with some gaps. Noted experience in DAX.,0.64
F3374,I2374,Good skills but needs more industry experience. Noted experience in Docker.,0.506
F3375,I2375,Mixed answers; structure could improve. Noted experience in APIs.,0.641
F3376,I2376,Average performance; showed potential with some gaps. Noted experience in HR Policies.,0.62
F3377,I2377,Average performance; showed potential with some gaps. Noted experience in Stakeholder Management.,0.674
F3378,I2378,Average performance; showed potential with some gaps. Noted experience in Tableau.,0.687
F3379,I2379,Good skills but needs more industry experience. Noted experience in Communication.,0.691
F3380,I2380,Mixed answers; structure could improve. Noted experience in Django.,0.663
F3381,I2381,Average performance; showed potential with some gaps. Noted experience in Numpy.,0.747
F3382,I2382,Mixed answers; structure could improve. Noted experience in Numpy.,0.615
F3383,I2383,Communication was weak; needs improvement. Noted experience in Pandas.,0.331
F3384,I2384,Mixed answers; structure could improve. Noted experience in Computer Vision.,0.619
F3385,I2385,Struggled with problem solving and coding tasks. Noted experience in Django.,0.141
F3386,I2386,Average performance; showed potential with some gaps. Noted experience in Computer Vision.,0.67
F3387,I2387,Mixed answers; structure could improve. Noted experience in Pandas.,0.532
F3388,I2388,Excellent technical skills; solved problems well. Noted experience in Django.,0.775
F3389,I2389,Good skills but needs more industry experience. Noted experience in Linux.,0.544
F3390,I2390,Average performance; showed potential with some gaps. Noted experience in Pandas.,0.531
F3391,I2391,Average performance; showed potential with some gaps. Noted experience in Deep Learning.,0.698
F3392,I2392,Strong analytical skills and clear communication. Noted experience in Cloud (Azure/AWS).,0.98
F3393,I2393,Mixed answers; structure could improve. Noted experience in React.,0.509
F3394,I2394,Mixed answers; structure could improve. Noted experience in Deep Learning.,0.671
F3395,I2395,"Confident presenter, handled questions well. Noted experience in Machine Learning.",0.843
F3396,I2396,Not a strong fit for the role currently. Noted experience in Recruitment.,0.401
F3397,I2397,"Confident presenter, handled questions well. Noted experience in Interviewing.",0.93
F3398,I2398,Average performance; showed potential with some gaps. Noted experience in Recruitment.,0.718
F3399,I2399,Strong analytical skills and clear communication. Noted experience in Interviewing.,0.98
F3400,I2400,Mixed answers; structure could improve. Noted experience in Power BI.,0.482
F3401,I2401,Good skills but needs more industry experience. Noted experience in Tableau.,0.672
F3402,I2402,Communication was weak; needs improvement. Noted experience in Tableau.,0.255
F3403,I2403,Mixed answers; structure could improve. Noted experience in Docker.,0.595
F3404,I2404,Strong analytical skills and clear communication. Noted experience in Django.,0.857
F3405,I2405,Not a strong fit for the role currently. Noted experience in Git.,0.386
F3406,I2406,"Confident presenter, handled questions well. Noted experience in Power BI.",0.914
F3407,I2407,"Confident presenter, handled questions well. Noted experience in Stakeholder Management.",0.944
F3408,I2408,Strong analytical skills and clear communication. Noted experience in DAX.,0.913
F3409,I2409,Average performance; showed potential with some gaps. Noted experience in NLP.,0.605
F3410,I2410,"Confident presenter, handled questions well. Noted experience in Recruitment.",0.98
F3411,I2411,Mixed answers; structure could improve. Noted experience in Leadership.,0.614
F3412,I2412,Strong analytical skills and clear communication. Noted experience in Interviewing.,0.794
F3413,I2413,Mixed answers; structure could improve. Noted experience in Interviewing.,0.684
F3414,I2414,Very good culture fit and leadership potential. Noted experience in Tableau.,0.757
F3415,I2415,Struggled with problem solving and coding tasks. Noted experience in Linux.,0.249
F3416,I2416,Mixed answers; structure could improve. Noted experience in React.,0.713
F3417,I2417,Average performance; showed potential with some gaps. Noted experience in Recruitment.,0.7
F3418,I2418,Average performance; showed potential with some gaps. Noted experience in JavaScript.,0.61
F3419,I2419,Good skills but needs more industry experience. Noted experience in React.,0.644
F3420,I2420,Good skills but needs more industry experience. Noted experience in Cloud (Azure/AWS).,0.513
F3421,I2421,Not a strong fit for the role currently. Noted experience in Interviewing.,0.426
F3422,I2422,Good skills but needs more industry experience. Noted experience in Interviewing.,0.543
F3423,I2423,"Confident presenter, handled questions well. Noted experience in Docker.",0.87
F3424,I2424,Strong analytical skills and clear communication. Noted experience in JavaScript.,0.927
F3425,I2425,Mixed answers; structure could improve. Noted experience in Communication.,0.63
F3426,I2426,Mixed answers; structure could improve. Noted experience in Deep Learning.,0.749
F3427,I2427,Good skills but needs more industry experience. Noted experience in Django.,0.534
F3428,I2428,Good skills but needs more industry experience. Noted experience in Interviewing.,0.489
F3429,I2429,Mixed answers; structure could improve. Noted experience in Linux.,0.48
F3430,I2430,Good skills but needs more industry experience. Noted experience in HR Policies.,0.678
F3431,I2431,Mixed answers; structure could improve. Noted experience in Leadership.,0.723
F3432,I2432,Mixed answers; structure could improve. Noted experience in Recruitment.,0.551
F3433,I2433,Average performance; showed potential with some gaps. Noted experience in Git.,0.675
F3434,I2434,Average performance; showed potential with some gaps. Noted experience in Recruitment.,0.519
F3435,I2435,Not a strong fit for the role currently. Noted experience in Data Visualization.,0.321
F3436,I2436,Mixed answers; structure could improve. Noted experience in Data Visualization.,0.65
F3437,I2437,Average performance; showed potential with some gaps. Noted experience in JavaScript.,0.532
F3438,I2438,"Confident presenter, handled questions well. Noted experience in Data Visualization.",0.816
F3439,I2439,Average performance; showed potential with some gaps. Noted experience in Data Visualization.,0.702
F3440,I2440,Good skills but needs more industry experience. Noted experience in React.,0.703
F3441,I2441,Average performance; showed potential with some gaps. Noted experience in Computer Vision.,0.665
F3442,I2442,Strong analytical skills and clear communication. Noted experience in Communication.,0.797
F3443,I2443,Struggled with problem solving and coding tasks. Noted experience in Git.,0.324
F3444,I2444,Good skills but needs more industry experience. Noted experience in React.,0.579
F3445,I2445,Strong analytical skills and clear communication. Noted experience in Machine Learning.,0.757
F3446,I2446,"Confident presenter, handled questions well. Noted experience in Tableau.",0.98
F3447,I2447,Very good culture fit and leadership potential. Noted experience in Statistics.,0.933
F3448,I2448,Communication was weak; needs improvement. Noted experience in Numpy.,0.264
F3449,I2449,Good skills but needs more industry experience. Noted experience in React.,0.581
F3450,I2450,Average performance; showed potential with some gaps. Noted experience in Leadership.,0.613
F3451,I2451,Average performance; showed potential with some gaps. Noted experience in Django.,0.73
F3452,I2452,Mixed answers; structure could improve. Noted experience in Django.,0.56
F3453,I2453,Excellent technical skills; solved problems well. Noted experience in React.,0.788
F3454,I2454,Mixed answers; structure could improve. Noted experience in Leadership.,0.556
F3455,I2455,Struggled with problem solving and coding tasks. Noted experience in Excel.,0.281
F3456,I2456,Average performance; showed potential with some gaps. Noted experience in Leadership.,0.679
F3457,I2457,"Confident presenter, handled questions well. Noted experience in Numpy.",0.773
F3458,I2458,Good skills but needs more industry experience. Noted experience in Communication.,0.738
F3459,I2459,Mixed answers; structure could improve. Noted experience in Pandas.,0.624
F3460,I2460,Very good culture fit and leadership potential. Noted experience in Computer Vision.,0.838
F3461,I2461,Average performance; showed potential with some gaps. Noted experience in Excel.,0.686
F3462,I2462,Average performance; showed potential with some gaps. Noted experience in Communication.,0.538
F3463,I2463,Strong analytical skills and clear communication. Noted experience in Kubernetes.,0.789
F3464,I2464,Good skills but needs more industry experience. Noted experience in Computer Vision.,0.53
F3465,I2465,Average performance; showed potential with some gaps. Noted experience in Communication.,0.475
F3466,I2466,Good skills but needs more industry experience. Noted experience in React.,0.688
F3467,I2467,Excellent technical skills; solved problems well. Noted experience in Cloud (Azure/AWS).,0.98
F3468,I2468,Strong analytical skills and clear communication. Noted experience in React.,0.757
F3469,I2469,Communication was weak; needs improvement. Noted experience in Communication.,0.127
F3470,I2470,Strong analytical skills and clear communication. Noted experience in Stakeholder Management.,0.771
F3471,I2471,Good skills but needs more industry experience. Noted experience in Stakeholder Management.,0.573
F3472,I2472,Strong analytical skills and clear communication. Noted experience in Data Visualization.,0.98
F3473,I2473,Mixed answers; structure could improve. Noted experience in Data Visualization.,0.495
F3474,I2474,Not a strong fit for the role currently. Noted experience in Data Visualization.,0.346
F3475,I2475,Mixed answers; structure could improve. Noted experience in APIs.,0.466
F3476,I2476,Good skills but needs more industry experience. Noted experience in Django.,0.461
F3477,I2477,Average performance; showed potential with some gaps. Noted experience in APIs.,0.545
F3478,I2478,Mixed answers; structure could improve. Noted experience in Django.,0.562
F3479,I2479,Average performance; showed potential with some gaps. Noted experience in Docker.,0.532
F3480,I2480,Average performance; showed potential with some gaps. Noted experience in NLP.,0.629
F3481,I2481,Communication was weak; needs improvement. Noted experience in Tableau.,0.368
F3482,I2482,Communication was weak; needs improvement. Noted experience in Deep Learning.,0.381
F3483,I2483,Strong analytical skills and clear communication. Noted experience in Deep Learning.,0.825
F3484,I2484,Struggled with problem solving and coding tasks. Noted experience in JavaScript.,0.266
F3485,I2485,Mixed answers; structure could improve. Noted experience in Statistics.,0.641
F3486,I2486,Very good culture fit and leadership potential. Noted experience in Python.,0.78
F3487,I2487,Good skills but needs more industry experience. Noted experience in Communication.,0.652
F3488,I2488,Mixed answers; structure could improve. Noted experience in Git.,0.746
F3489,I2489,Average performance; showed potential with some gaps. Noted experience in Python.,0.55
F3490,I2490,Average performance; showed potential with some gaps. Noted experience in Communication.,0.613
F3491,I2491,Good skills but needs more industry experience. Noted experience in Interviewing.,0.635
F3492,I2492,Not a strong fit for the role currently. Noted experience in Stakeholder Management.,0.323
F3493,I2493,Good skills but needs more industry experience. Noted experience in Leadership.,0.642
F3494,I2494,Strong analytical skills and clear communication. Noted experience in Power BI.,0.98
F3495,I2495,Communication was weak; needs improvement. Noted experience in Tableau.,0.389
F3496,I2496,"Confident presenter, handled questions well. Noted experience in Git.",0.78
F3497,I2497,Communication was weak; needs improvement. Noted experience in Tableau.,0.35
F3498,I2498,Excellent technical skills; solved problems well. Noted experience in HR Policies.,0.811
F3499,I2499,Average performance; showed potential with some gaps. Noted experience in HR Policies.,0.704
F3500,I2500,Very good culture fit and leadership potential. Noted experience in Deep Learning.,0.812
F3501,I2501,Good skills but needs more industry experience. Noted experience in Data Visualization.,0.69
F3502,I2502,Good skills but needs more industry experience. Noted experience in HR Policies.,0.643
F3503,I2503,Average performance; showed potential with some gaps. Noted experience in Computer Vision.,0.745
F3504,I2504,Strong analytical skills and clear communication. Noted experience in Git.,0.942
F3505,I2505,Mixed answers; structure could improve. Noted experience in Power BI.,0.528
F3506,I2506,Good skills but needs more industry experience. Noted experience in Stakeholder Management.,0.598
F3507,I2507,Good skills but needs more industry experience. Noted experience in Numpy.,0.555
F3508,I2508,Very good culture fit and leadership potential. Noted experience in Flask.,0.819
F3509,I2509,Mixed answers; structure could improve. Noted experience in Numpy.,0.662
F3510,I2510,"Confident presenter, handled questions well. Noted experience in HR Policies.",0.871
F3511,I2511,Very good culture fit and leadership potential. Noted experience in Data Visualization.,0.813
F3512,I2512,Very good culture fit and leadership potential. Noted experience in Data Visualization.,0.908
F3513,I2513,Mixed answers; structure could improve. Noted experience in SQL.,0.579
F3514,I2514,Good skills but needs more industry experience. Noted experience in Recruitment.,0.516
F3515,I2515,Not a strong fit for the role currently. Noted experience in Django.,0.324
F3516,I2516,"Confident presenter, handled questions well. Noted experience in Recruitment.",0.98
F3517,I2517,Good skills but needs more industry experience. Noted experience in NLP.,0.664
F3518,I2518,Average performance; showed potential with some gaps. Noted experience in Communication.,0.647
F3519,I2519,Mixed answers; structure could improve. Noted experience in Django.,0.619
F3520,I2520,Good skills but needs more industry experience. Noted experience in Python.,0.558
F3521,I2521,Average performance; showed potential with some gaps. Noted experience in Python.,0.706
F3522,I2522,Struggled with problem solving and coding tasks. Noted experience in Python.,0.387
F3523,I2523,Struggled with problem solving and coding tasks. Noted experience in Statistics.,0.242
F3524,I2524,Good skills but needs more industry experience. Noted experience in APIs.,0.457
F3525,I2525,Good skills but needs more industry experience. Noted experience in Communication.,0.492
F3526,I2526,Good skills but needs more industry experience. Noted experience in Recruitment.,0.724
F3527,I2527,Good skills but needs more industry experience. Noted experience in Numpy.,0.68
F3528,I2528,Communication was weak; needs improvement. Noted experience in Flask.,0.403
F3529,I2529,"Confident presenter, handled questions well. Noted experience in Flask.",0.841
F3530,I2530,"Confident presenter, handled questions well. Noted experience in Linux.",0.772
F3531,I2531,"Confident presenter, handled questions well. Noted experience in Linux.",0.812
F3532,I2532,Average performance; showed potential with some gaps. Noted experience in Flask.,0.671
F3533,I2533,Struggled with problem solving and coding tasks. Noted experience in Linux.,0.448
F3534,I2534,Communication was weak; needs improvement. Noted experience in React.,0.43
F3535,I2535,Mixed answers; structure could improve. Noted experience in NLP.,0.541
F3536,I2536,Communication was weak; needs improvement. Noted experience in Computer Vision.,0.337
F3537,I2537,Mixed answers; structure could improve. Noted experience in Interviewing.,0.457
F3538,I2538,Average performance; showed potential with some gaps. Noted experience in Deep Learning.,0.666
F3539,I2539,"Confident presenter, handled questions well. Noted experience in Stakeholder Management.",0.811
F3540,I2540,Good skills but needs more industry experience. Noted experience in Interviewing.,0.472
F3541,I2541,"Confident presenter, handled questions well. Noted experience in NLP.",0.931
F3542,I2542,Not a strong fit for the role currently. Noted experience in NLP.,0.05
F3543,I2543,Strong analytical skills and clear communication. Noted experience in Git.,0.931
F3544,I2544,Struggled with problem solving and coding tasks. Noted experience in DAX.,0.193
F3545,I2545,Strong analytical skills and clear communication. Noted experience in DAX.,0.969
F3546,I2546,Excellent technical skills; solved problems well. Noted experience in Git.,0.841
F3547,I2547,Excellent technical skills; solved problems well. Noted experience in Git.,0.881
F3548,I2548,Struggled with problem solving and coding tasks. Noted experience in Git.,0.352
F3549,I2549,Average performance; showed potential with some gaps. Noted experience in JavaScript.,0.631
F3550,I2550,Not a strong fit for the role currently. Noted experience in Linux.,0.241
F3551,I2551,Mixed answers; structure could improve. Noted experience in Tableau.,0.657
F3552,I2552,Excellent technical skills; solved problems well. Noted experience in Tableau.,0.907
F3553,I2553,Excellent technical skills; solved problems well. Noted experience in Docker.,0.98
F3554,I2554,Strong analytical skills and clear communication. Noted experience in DAX.,0.973
F3555,I2555,Average performance; showed potential with some gaps. Noted experience in Docker.,0.464
F3556,I2556,Strong analytical skills and clear communication. Noted experience in Python.,0.754
F3557,I2557,Average performance; showed potential with some gaps. Noted experience in Excel.,0.732
F3558,I2558,Excellent technical skills; solved problems well. Noted experience in APIs.,0.804
F3559,I2559,Mixed answers; structure could improve. Noted experience in Docker.,0.47
F3560,I2560,"Confident presenter, handled questions well. Noted experience in Machine Learning.",0.775
F3561,I2561,Good skills but needs more industry experience. Noted experience in Data Visualization.,0.718
F3562,I2562,Not a strong fit for the role currently. Noted experience in APIs.,0.389
F3563,I2563,Mixed answers; structure could improve. Noted experience in Django.,0.538
F3564,I2564,Good skills but needs more industry experience. Noted experience in Git.,0.542
F3565,I2565,Mixed answers; structure could improve. Noted experience in APIs.,0.465
F3566,I2566,"Confident presenter, handled questions well. Noted experience in Git.",0.98
F3567,I2567,Communication was weak; needs improvement. Noted experience in NLP.,0.445
F3568,I2568,Average performance; showed potential with some gaps. Noted experience in Data Visualization.,0.727
F3569,I2569,Communication was weak; needs improvement. Noted experience in NLP.,0.337
F3570,I2570,Mixed answers; structure could improve. Noted experience in APIs.,0.725
F3571,I2571,Mixed answers; structure could improve. Noted experience in Leadership.,0.529
F3572,I2572,Communication was weak; needs improvement. Noted experience in React.,0.223
F3573,I2573,Average performance; showed potential with some gaps. Noted experience in Data Visualization.,0.574
F3574,I2574,"Confident presenter, handled questions well. Noted experience in DAX.",0.765
F3575,I2575,Not a strong fit for the role currently. Noted experience in Data Visualization.,0.39
F3576,I2576,Strong analytical skills and clear communication. Noted experience in Data Visualization.,0.98
F3577,I2577,"Confident presenter, handled questions well. Noted experience in React.",0.98
F3578,I2578,"Confident presenter, handled questions well. Noted experience in React.",0.874
F3579,I2579,Mixed answers; structure could improve. Noted experience in Flask.,0.505
F3580,I2580,Not a strong fit for the role currently. Noted experience in DAX.,0.257
F3581,I2581,Average performance; showed potential with some gaps. Noted experience in DAX.,0.586
F3582,I2582,Average performance; showed potential with some gaps. Noted experience in Flask.,0.689
F3583,I2583,Strong analytical skills and clear communication. Noted experience in Flask.,0.92
F3584,I2584,Very good culture fit and leadership potential. Noted experience in Cloud (Azure/AWS).,0.872
F3585,I2585,Very good culture fit and leadership potential. Noted experience in Computer Vision.,0.774
F3586,I2586,Communication was weak; needs improvement. Noted experience in Linux.,0.228
F3587,I2587,Communication was weak; needs improvement. Noted experience in Recruitment.,0.316
F3588,I2588,Mixed answers; structure could improve. Noted experience in Deep Learning.,0.68
F3589,I2589,Good skills but needs more industry experience. Noted experience in Pandas.,0.515
F3590,I2590,Strong analytical skills and clear communication. Noted experience in Power BI.,0.787
F3591,I2591,Struggled with problem solving and coding tasks. Noted experience in Linux.,0.387
F3592,I2592,Very good culture fit and leadership potential. Noted experience in Stakeholder Management.,0.836
F3593,I2593,Communication was weak; needs improvement. Noted experience in Recruitment.,0.207
F3594,I2594,Average performance; showed potential with some gaps. Noted experience in Machine Learning.,0.655
F3595,I2595,Mixed answers; structure could improve. Noted experience in Cloud (Azure/AWS).,0.538
F3596,I2596,Excellent technical skills; solved problems well. Noted experience in Machine Learning.,0.793
F3597,I2597,Not a strong fit for the role currently. Noted experience in Recruitment.,0.376
F3598,I2598,"Confident presenter, handled questions well. Noted experience in Power BI.",0.768
F3599,I2599,Excellent technical skills; solved problems well. Noted experience in NLP.,0.757
F3600,I2600,Not a strong fit for the role currently. Noted experience in JavaScript.,0.25
F3601,I2601,"Confident presenter, handled questions well. Noted experience in React.",0.917
F3602,I2602,Average performance; showed potential with some gaps. Noted experience in Stakeholder Management.,0.592
F3603,I2603,Average performance; showed potential with some gaps. Noted experience in Cloud (Azure/AWS).,0.451
F3604,I2604,Not a strong fit for the role currently. Noted experience in NLP.,0.401
F3605,I2605,Excellent technical skills; solved problems well. Noted experience in Data Visualization.,0.98
F3606,I2606,Not a strong fit for the role currently. Noted experience in Cloud (Azure/AWS).,0.377
F3607,I2607,Good skills but needs more industry experience. Noted experience in Linux.,0.632
F3608,I2608,Average performance; showed potential with some gaps. Noted experience in APIs.,0.611
F3609,I2609,Strong analytical skills and clear communication. Noted experience in Django.,0.769
F3610,I2610,Good skills but needs more industry experience. Noted experience in Kubernetes.,0.527
F3611,I2611,Good skills but needs more industry experience. Noted experience in Data Visualization.,0.532
F3612,I2612,"Confident presenter, handled questions well. Noted experience in Django.",0.902
F3613,I2613,"Confident presenter, handled questions well. Noted experience in Django.",0.98
F3614,I2614,Mixed answers; structure could improve. Noted experience in Data Visualization.,0.73
F3615,I2615,Average performance; showed potential with some gaps. Noted experience in Flask.,0.463
F3616,I2616,Excellent technical skills; solved problems well. Noted experience in Pandas.,0.795
F3617,I2617,Mixed answers; structure could improve. Noted experience in Data Visualization.,0.716
F3618,I2618,Communication was weak; needs improvement. Noted experience in Flask.,0.348
F3619,I2619,Excellent technical skills; solved problems well. Noted experience in Flask.,0.813
F3620,I2620,Mixed answers; structure could improve. Noted experience in Git.,0.58
F3621,I2621,"Confident presenter, handled questions well. Noted experience in Git.",0.98
F3622,I2622,Mixed answers; structure could improve. Noted experience in Leadership.,0.508
F3623,I2623,Good skills but needs more industry experience. Noted experience in Leadership.,0.61
F3624,I2624,Good skills but needs more industry experience. Noted experience in Stakeholder Management.,0.563
F3625,I2625,Struggled with problem solving and coding tasks. Noted experience in Stakeholder Management.,0.415
F3626,I2626,Good skills but needs more industry experience. Noted experience in Data Visualization.,0.629
F3627,I2627,Communication was weak; needs improvement. Noted experience in Excel.,0.345
F3628,I2628,Mixed answers; structure could improve. Noted experience in Communication.,0.53
F3629,I2629,Average performance; showed potential with some gaps. Noted experience in Python.,0.7
F3630,I2630,Good skills but needs more industry experience. Noted experience in Leadership.,0.454
F3631,I2631,Good skills but needs more industry experience. Noted experience in HR Policies.,0.715
F3632,I2632,Very good culture fit and leadership potential. Noted experience in Excel.,0.845
F3633,I2633,Strong analytical skills and clear communication. Noted experience in DAX.,0.98
F3634,I2634,Average performance; showed potential with some gaps. Noted experience in Leadership.,0.704
F3635,I2635,Average performance; showed potential with some gaps. Noted experience in Power BI.,0.467
F3636,I2636,Good skills but needs more industry experience. Noted experience in Tableau.,0.529
F3637,I2637,Excellent technical skills; solved problems well. Noted experience in Leadership.,0.796
F3638,I2638,Good skills but needs more industry experience. Noted experience in HR Policies.,0.527
F3639,I2639,"Confident presenter, handled questions well. Noted experience in APIs.",0.98
F3640,I2640,Average performance; showed potential with some gaps. Noted experience in Linux.,0.628
F3641,I2641,"Confident presenter, handled questions well. Noted experience in Computer Vision.",0.801
F3642,I2642,Good skills but needs more industry experience. Noted experience in APIs.,0.636
F3643,I2643,Mixed answers; structure could improve. Noted experience in Computer Vision.,0.522
F3644,I2644,Average performance; showed potential with some gaps. Noted experience in NLP.,0.539
F3645,I2645,Average performance; showed potential with some gaps. Noted experience in Computer Vision.,0.457
F3646,I2646,Good skills but needs more industry experience. Noted experience in DAX.,0.576
F3647,I2647,Good skills but needs more industry experience. Noted experience in SQL.,0.579
F3648,I2648,Excellent technical skills; solved problems well. Noted experience in React.,0.867
F3649,I2649,Struggled with problem solving and coding tasks. Noted experience in DAX.,0.292
F3650,I2650,Very good culture fit and leadership potential. Noted experience in DAX.,0.829
F3651,I2651,Good skills but needs more industry experience. Noted experience in Excel.,0.578
F3652,I2652,Good skills but needs more industry experience. Noted experience in Leadership.,0.583
F3653,I2653,Good skills but needs more industry experience. Noted experience in Docker.,0.68
F3654,I2654,Struggled with problem solving and coding tasks. Noted experience in Docker.,0.246
F3655,I2655,Mixed answers; structure could improve. Noted experience in Excel.,0.543
F3656,I2656,Excellent technical skills; solved problems well. Noted experience in Leadership.,0.884
F3657,I2657,Mixed answers; structure could improve. Noted experience in Communication.,0.558
F3658,I2658,Very good culture fit and leadership potential. Noted experience in Kubernetes.,0.98
F3659,I2659,Good skills but needs more industry experience. Noted experience in Communication.,0.564
F3660,I2660,Good skills but needs more industry experience. Noted experience in JavaScript.,0.719
F3661,I2661,Mixed answers; structure could improve. Noted experience in Linux.,0.735
F3662,I2662,Mixed answers; structure could improve. Noted experience in React.,0.491
F3663,I2663,Good skills but needs more industry experience. Noted experience in Python.,0.7
F3664,I2664,Good skills but needs more industry experience. Noted experience in Interviewing.,0.563
F3665,I2665,Very good culture fit and leadership potential. Noted experience in Recruitment.,0.835
F3666,I2666,Average performance; showed potential with some gaps. Noted experience in Python.,0.515
F3667,I2667,Strong analytical skills and clear communication. Noted experience in Cloud (Azure/AWS).,0.784
F3668,I2668,Mixed answers; structure could improve. Noted experience in Python.,0.695
F3669,I2669,Strong analytical skills and clear communication. Noted experience in Git.,0.789
F3670,I2670,Strong analytical skills and clear communication. Noted experience in HR Policies.,0.774
F3671,I2671,Struggled with problem solving and coding tasks. Noted experience in SQL.,0.433
F3672,I2672,Struggled with problem solving and coding tasks. Noted experience in Flask.,0.375
F3673,I2673,Strong analytical skills and clear communication. Noted experience in HR Policies.,0.851
F3674,I2674,Good skills but needs more industry experience. Noted experience in HR Policies.,0.632
F3675,I2675,Good skills but needs more industry experience. Noted experience in Docker.,0.588
F3676,I2676,Mixed answers; structure could improve. Noted experience in Excel.,0.506
F3677,I2677,Strong analytical skills and clear communication. Noted experience in Docker.,0.773
F3678,I2678,Mixed answers; structure could improve. Noted experience in APIs.,0.715
F3679,I2679,Good skills but needs more industry experience. Noted experience in Cloud (Azure/AWS).,0.645
F3680,I2680,Average performance; showed potential with some gaps. Noted experience in Deep Learning.,0.578
F3681,I2681,Average performance; showed potential with some gaps. Noted experience in Cloud (Azure/AWS).,0.518
F3682,I2682,Excellent technical skills; solved problems well. Noted experience in Deep Learning.,0.884
F3683,I2683,Average performance; showed potential with some gaps. Noted experience in Pandas.,0.478
F3684,I2684,Average performance; showed potential with some gaps. Noted experience in HR Policies.,0.63
F3685,I2685,Good skills but needs more industry experience. Noted experience in SQL.,0.673
F3686,I2686,Excellent technical skills; solved problems well. Noted experience in Statistics.,0.967
F3687,I2687,Good skills but needs more industry experience. Noted experience in Statistics.,0.528
F3688,I2688,Excellent technical skills; solved problems well. Noted experience in Computer Vision.,0.98
F3689,I2689,Good skills but needs more industry experience. Noted experience in Python.,0.462
F3690,I2690,Communication was weak; needs improvement. Noted experience in Stakeholder Management.,0.406
F3691,I2691,Excellent technical skills; solved problems well. Noted experience in Linux.,0.81
F3692,I2692,Very good culture fit and leadership potential. Noted experience in Stakeholder Management.,0.757
F3693,I2693,Very good culture fit and leadership potential. Noted experience in Flask.,0.862
F3694,I2694,Struggled with problem solving and coding tasks. Noted experience in Leadership.,0.417
F3695,I2695,Very good culture fit and leadership potential. Noted experience in DAX.,0.793
F3696,I2696,Average performance; showed potential with some gaps. Noted experience in NLP.,0.731
F3697,I2697,Very good culture fit and leadership potential. Noted experience in DAX.,0.875
F3698,I2698,Struggled with problem solving and coding tasks. Noted experience in React.,0.414
F3699,I2699,Good skills but needs more industry experience. Noted experience in Django.,0.709
F3700,I2700,Average performance; showed potential with some gaps. Noted experience in Django.,0.609
F3701,I2701,Good skills but needs more industry experience. Noted experience in HR Policies.,0.511
F3702,I2702,Strong analytical skills and clear communication. Noted experience in Tableau.,0.763
F3703,I2703,Mixed answers; structure could improve. Noted experience in Docker.,0.65
F3704,I2704,Struggled with problem solving and coding tasks. Noted experience in Computer Vision.,0.183
F3705,I2705,Average performance; showed potential with some gaps. Noted experience in Docker.,0.582
F3706,I2706,"Confident presenter, handled questions well. Noted experience in Tableau.",0.757
F3707,I2707,Average performance; showed potential with some gaps. Noted experience in Docker.,0.619
F3708,I2708,Mixed answers; structure could improve. Noted experience in Tableau.,0.55
F3709,I2709,Excellent technical skills; solved problems well. Noted experience in Docker.,0.935
F3710,I2710,Average performance; showed potential with some gaps. Noted experience in Computer Vision.,0.488
F3711,I2711,Struggled with problem solving and coding tasks. Noted experience in Pandas.,0.433
F3712,I2712,Good skills but needs more industry experience. Noted experience in Machine Learning.,0.724
F3713,I2713,Not a strong fit for the role currently. Noted experience in Django.,0.365
F3714,I2714,Good skills but needs more industry experience. Noted experience in Numpy.,0.485
F3715,I2715,Good skills but needs more industry experience. Noted experience in Numpy.,0.569
F3716,I2716,Average performance; showed potential with some gaps. Noted experience in Numpy.,0.728
F3717,I2717,Mixed answers; structure could improve. Noted experience in Cloud (Azure/AWS).,0.597
F3718,I2718,Strong analytical skills and clear communication. Noted experience in Deep Learning.,0.894
F3719,I2719,Good skills but needs more industry experience. Noted experience in APIs.,0.524
F3720,I2720,"Confident presenter, handled questions well. Noted experience in Docker.",0.759
F3721,I2721,Strong analytical skills and clear communication. Noted experience in Git.,0.935
F3722,I2722,Average performance; showed potential with some gaps. Noted experience in Kubernetes.,0.515
F3723,I2723,Good skills but needs more industry experience. Noted experience in Kubernetes.,0.521
F3724,I2724,Good skills but needs more industry experience. Noted experience in Kubernetes.,0.496
F3725,I2725,Average performance; showed potential with some gaps. Noted experience in Communication.,0.625
F3726,I2726,Excellent technical skills; solved problems well. Noted experience in JavaScript.,0.825
F3727,I2727,Very good culture fit and leadership potential. Noted experience in JavaScript.,0.807
F3728,I2728,Very good culture fit and leadership potential. Noted experience in HR Policies.,0.828
F3729,I2729,Mixed answers; structure could improve. Noted experience in Python.,0.565
F3730,I2730,Mixed answers; structure could improve. Noted experience in Python.,0.544
F3731,I2731,Good skills but needs more industry experience. Noted experience in Pandas.,0.461
F3732,I2732,Communication was weak; needs improvement. Noted experience in Machine Learning.,0.406
F3733,I2733,Strong analytical skills and clear communication. Noted experience in Docker.,0.8
